City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Luwuk,ID,76.8,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
462,Flinders,AU,68.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
466,Kindu,CD,69.93,light rain,-2.95,25.95,Résidence Okanda
469,Matara,LK,73.42,clear sky,5.9485,80.5353,Amaloh Boutique Resort
471,Kiama,AU,68.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
474,Sibolga,ID,75.54,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
475,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
477,Tsiroanomandidy,MG,67.57,overcast clouds,-18.7667,46.0333,Hotel Ravinala
480,Rocha,UY,71.65,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
481,Nortelandia,BR,89.69,broken clouds,-14.4547,-56.8028,Hotel Karysmã
483,Japura,ID,72.82,light rain,-0.3167,102.35,Rumah mbah Jamah
485,Progreso,MX,74.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
486,Port Augusta,AU,74.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
